Device Time, G(x), G(y), G(z), G(calibrated),
28-3-2014 12:33:49.145,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:33:50.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:33:51.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:33:52.145,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:33:53.145,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:33:54.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:33:55.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:33:56.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:33:57.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:33:58.148,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:33:59.145,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:34:00.145,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:34:01.146,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:34:02.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:34:03.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:34:04.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:34:05.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:34:06.145,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:34:07.145,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:34:08.144,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:34:09.145,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:34:10.145,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:34:11.149,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:34:12.146,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:34:13.146,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:34:14.145,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:34:15.145,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:34:16.145,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:34:17.145,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:34:18.145,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:34:19.145,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:34:20.145,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:34:21.145,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:34:22.145,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:34:23.145,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:34:24.145,0.04,7.67000008,6.3499999,0.0340417,
28-3-2014 12:34:25.144,0.04,7.67000008,6.3499999,0.0340417,
